	id,Created by	Country,Airport Name,City,ICAO),
(1,4,173,"Goroka Airport","Goroka","AYGA"),
(2,4,173,"Madang Airport","Madang","AYMD"),
(3,4,173,"Mount Hagen Kagamuga Airport","Mount Hagen","AYMH"),
(4,4,173,"Nadzab Airport","Nadzab","AYNZ"),
(5,4,173,"Port Moresby Jacksons International Airport","Port Moresby","AYPY"),
(6,4,173,"Wewak International Airport","Wewak","AYWK"),
(7,4,88,"Narsarsuaq Airport","Narssarssuaq","BGBW"),
(8,4,88,"Godthaab / Nuuk Airport","Godthaab","BGGH"),
(9,4,88,"Kangerlussuaq Airport","Sondrestrom","BGSF"),
(10,4,88,"Thule Air Base","Thule","BGTL"),
(11,4,103,"Akureyri Airport","Akureyri","BIAR"),
(12,4,103,"Egilsstaðir Airport","Egilsstadir","BIEG"),
(13,4,103,"Hornafjörður Airport","Hofn","BIHN"),
(14,4,103,"Húsavík Airport","Husavik","BIHU"),
(15,4,103,"Ísafjörður Airport","Isafjordur","BIIS"),
(16,4,103,"Keflavik International Airport","Keflavik","BIKF"),
(17,4,103,"Patreksfjörður Airport","Patreksfjordur","BIPA"),
(18,4,103,"Reykjavik Airport","Reykjavik","BIRK"),
(19,4,103,"Siglufjörður Airport","Siglufjordur","BISI"),
(20,4,103,"Vestmannaeyjar Airport","Vestmannaeyjar","BIVM"),
(21,4,41,"Sault Ste Marie Airport","Sault Sainte Marie","CYAM"),
(22,4,41,"Winnipeg / St. Andrews Airport","Winnipeg","CYAV"),
(23,4,41,"Halifax / CFB Shearwater Heliport","Halifax","CYAW"),
(24,4,41,"St. Anthony Airport","St. Anthony","CYAY"),
(25,4,41,"Tofino / Long Beach Airport","Tofino","CYAZ"),
(26,4,41,"Kugaaruk Airport","Pelly Bay","CYBB"),
(27,4,41,"Baie Comeau Airport","Baie Comeau","CYBC"),
(28,4,41,"CFB Bagotville","Bagotville","CYBG"),
(29,4,41,"Baker Lake Airport","Baker Lake","CYBK"),
(30,4,41,"Campbell River Airport","Campbell River","CYBL"),
(31,4,41,"Brandon Municipal Airport","Brandon","CYBR"),
(32,4,41,"Cambridge Bay Airport","Cambridge Bay","CYCB"),
(33,4,41,"Nanaimo Airport","Nanaimo","CYCD"),
(34,4,41,"Castlegar/West Kootenay Regional Airport","Castlegar","CYCG"),
(35,4,41,"Miramichi Airport","Chatham","CYCH"),
(36,4,41,"Charlo Airport","Charlo","CYCL"),
(37,4,41,"Kugluktuk Airport","Coppermine","CYCO"),
(38,4,41,"Coronation Airport","Coronation","CYCT"),
(39,4,41,"Chilliwack Airport","Chilliwack","CYCW"),
(40,4,41,"Clyde River Airport","Clyde River","CYCY"),
(41,4,41,"Coral Harbour Airport","Coral Harbour","CYZS"),
(42,4,41,"Dawson City Airport","Dawson","CYDA"),
(43,4,41,"Burwash Airport","Burwash","CYDB"),
(44,4,41,"Princeton Airport","Princeton","CYDC"),
(45,4,41,"Deer Lake Airport","Deer Lake","CYDF"),
(46,4,41,"Dease Lake Airport","Dease Lake","CYDL"),
(47,4,41,"Dauphin Barker Airport","Dauphin","CYDN"),
(48,4,41,"Dawson Creek Airport","Dawson Creek","CYDQ"),
(49,4,41,"Edmonton International Airport","Edmonton","CYEG"),
(50,4,41,"Arviat Airport","Eskimo Point","CYEK"),
(51,4,41,"Estevan Airport","Estevan","CYEN"),
(52,4,41,"Edson Airport","Edson","CYET"),
(53,4,41,"Eureka Airport","Eureka","CYEU"),
(54,4,41,"Inuvik Mike Zubko Airport","Inuvik","CYEV"),
(55,4,41,"Iqaluit Airport","Iqaluit","CYFB"),
(56,4,41,"Fredericton Airport","Fredericton","CYFC"),
(57,4,41,"Forestville Airport","Forestville","CYFE"),
(58,4,41,"Flin Flon Airport","Flin Flon","CYFO"),
(59,4,41,"Fort Resolution Airport","Fort Resolution","CYFR"),
(60,4,41,"Fort Simpson Airport","Fort Simpson","CYFS"),
(61,4,41,"Kingston Norman Rogers Airport","Kingston","CYGK"),
(62,4,41,"La Grande Rivière Airport","La Grande Riviere","CYGL"),
(63,4,41,"Gaspé (Michel-Pouliot) Airport","Gaspe","CYGP"),
(64,4,41,"Geraldton Greenstone Regional Airport","Geraldton","CYGQ"),
(65,4,41,"Îles-de-la-Madeleine Airport","Iles De La Madeleine","CYGR"),
(66,4,41,"Hudson Bay Airport","Hudson Bay","CYHB"),
(67,4,41,"Dryden Regional Airport","Dryden","CYHD"),
(68,4,41,"Ulukhaktok Holman Airport","Holman Island","CYHI"),
(69,4,41,"Gjoa Haven Airport","Gjoa Haven","CYHK"),
(70,4,41,"John C. Munro Hamilton International Airport","Hamilton","CYHM"),
(71,4,41,"Montréal / Saint-Hubert Airport","Montreal","CYHU"),
